Data Rif;Category;Segment;Products;Customers;Regione;Provincia;Channel;Standard Units
42740;Tamponi;Blue Box;Product 7;Customer 53;Lombardia;MN;GD;3
42740;Tamponi;Blue Box;Product 7;Customer 53;Sicilia;PA;GD;1
42740;Tamponi;Blue Box;Product 7;Customer 54;Piemonte;VC;GD;120
42740;Tamponi;Compak;Product 8;Customer 7;Veneto;PD;DO;112
42740;Tamponi;Compak;Product 8;Customer 147;Lazio;RM;GD;16
42740;Tamponi;Compak;Product 9;Customer 30;Piemonte;NO;GD;18,0072
42740;Tamponi;Compak;Product 9;Customer 53;Friuli Venezia Giulia;TS;GD;2,40096
42740;Tamponi;Compak;Product 9;Customer 53;Lombardia;MN;GD;2,40096
42740;Tamponi;Compak;Product 10;Customer 7;Veneto;PD;DO;91,2
42740;Tamponi;Compak;Product 10;Customer 46;Sicilia;PA;DO;15,2
42740;Tamponi;Compak;Product 10;Customer 110;Puglia;BA;GD;15,2
42740;Tamponi;Compak;Product 10;Customer 147;Lazio;RM;GD;15,2
42740;Tamponi;Compak;Product 11;Customer 24;Veneto;RO;DO;86,43456
42740;Tamponi;Compak;Product 11;Customer 53;Friuli Venezia Giulia;TS;GD;2,40096
42740;Tamponi;Compak;Product 11;Customer 53;Lombardia;MN;GD;2,40096
42740;Tamponi;Compak;Product 11;Customer 53;Sicilia;PA;GD;2,40096
42740;Tamponi;Compak;Product 11;Customer 54;Piemonte;VC;GD;86,43456
42740;Tamponi;Digital;Product 13;Customer 33;Marche;AN;DO;12,7932
42740;Tamponi;Digital;Product 13;Customer 53;Emilia Romagna;PR;GD;4,2644
42740;Tamponi;Digital;Product 13;Customer 53;Emilia Romagna;RA;GD;7,4627
42740;Tamponi;Digital;Product 13;Customer 53;Friuli Venezia Giulia;TS;GD;1,0661
42740;Tamponi;Digital;Product 15;Customer 46;Sicilia;PA;DO;10,661
42740;Tamponi;Digital;Product 15;Customer 53;Emilia Romagna;PR;GD;4,2644
42740;Tamponi;Digital;Product 15;Customer 53;Emilia Romagna;RA;GD;8,5288
42740;Tamponi;Digital;Product 15;Customer 53;Friuli Venezia Giulia;TS;GD;1,0661
42740;Tamponi;Digital;Product 15;Customer 93;Lombardia;MI;DO;21,322
42740;Tamponi;Pearl;Product 19;Customer 30;Piemonte;NO;GD;1,80018
42744;Tamponi;Blue Box;Product 2;Customer 53;Emilia Romagna;BO;GD;2
42744;Tamponi;Blue Box;Product 2;Customer 53;Friuli Venezia Giulia;TS;GD;2
42744;Tamponi;Blue Box;Product 2;Customer 53;Marche;PU;GD;1
42744;Tamponi;Blue Box;Product 2;Customer 53;Puglia;BA;GD;1
42744;Tamponi;Blue Box;Product 2;Customer 53;Veneto;PD;GD;1
42744;Tamponi;Blue Box;Product 2;Customer 53;Veneto;VE;GD;2
42744;Tamponi;Blue Box;Product 2;Customer 53;Veneto;VI;GD;1
42744;Tamponi;Blue Box;Product 3;Customer 113;Lombardia;BG;GD;14
42744;Tamponi;Blue Box;Product 3;Customer 113;Sardegna;CA;GD;5
42744;Tamponi;Blue Box;Product 3;Customer 157;Lazio;RM;DISCOUNT;24
42744;Tamponi;Blue Box;Product 4;Customer 30;Piemonte;TO;GD;24
42744;Tamponi;Blue Box;Product 4;Customer 53;Emilia Romagna;BO;GD;9
42744;Tamponi;Blue Box;Product 4;Customer 53;Emilia Romagna;FE;GD;6
42744;Tamponi;Blue Box;Product 4;Customer 53;Emilia Romagna;MO;GD;9
42744;Tamponi;Blue Box;Product 4;Customer 53;Emilia Romagna;PC;GD;7
42744;Tamponi;Blue Box;Product 4;Customer 53;Emilia Romagna;RA;GD;3
42744;Tamponi;Blue Box;Product 4;Customer 53;Emilia Romagna;RE;GD;6
42744;Tamponi;Blue Box;Product 4;Customer 53;Friuli Venezia Giulia;TS;GD;3
42744;Tamponi;Blue Box;Product 4;Customer 53;Lombardia;MN;GD;3
42744;Tamponi;Blue Box;Product 4;Customer 53;Puglia;BR;GD;3
42744;Tamponi;Blue Box;Product 4;Customer 53;Sicilia;PA;GD;3
42744;Tamponi;Blue Box;Product 4;Customer 53;Veneto;PD;GD;3
42744;Tamponi;Blue Box;Product 4;Customer 53;Veneto;VE;GD;3
42744;Tamponi;Blue Box;Product 4;Customer 53;Veneto;VI;GD;3
42744;Tamponi;Blue Box;Product 4;Customer 54;Piemonte;VC;GD;288
42744;Tamponi;Blue Box;Product 4;Customer 87;Veneto;VE;DO;24
42744;Tamponi;Blue Box;Product 5;Customer 21;Sicilia;ME;GD;12
42744;Tamponi;Blue Box;Product 5;Customer 113;Basilicata;PZ;GD;12
42744;Tamponi;Blue Box;Product 5;Customer 157;Lazio;RM;DISCOUNT;24
42744;Tamponi;Blue Box;Product 7;Customer 30;Campania;BN;GD;10
42744;Tamponi;Blue Box;Product 7;Customer 53;Emilia Romagna;BO;GD;9
42744;Tamponi;Blue Box;Product 7;Customer 53;Emilia Romagna;FE;GD;6
42744;Tamponi;Blue Box;Product 7;Customer 53;Emilia Romagna;MO;GD;9
42744;Tamponi;Blue Box;Product 7;Customer 53;Emilia Romagna;PC;GD;7
42744;Tamponi;Blue Box;Product 7;Customer 53;Emilia Romagna;RA;GD;3
42744;Tamponi;Blue Box;Product 7;Customer 53;Emilia Romagna;RE;GD;6
42744;Tamponi;Blue Box;Product 7;Customer 53;Friuli Venezia Giulia;TS;GD;3
42744;Tamponi;Blue Box;Product 7;Customer 53;Lombardia;MN;GD;3
42744;Tamponi;Blue Box;Product 7;Customer 53;Marche;PU;GD;2
42744;Tamponi;Blue Box;Product 7;Customer 53;Puglia;BR;GD;3
42744;Tamponi;Blue Box;Product 7;Customer 53;Sicilia;PA;GD;3
42744;Tamponi;Blue Box;Product 7;Customer 53;Veneto;PD;GD;3
42744;Tamponi;Blue Box;Product 7;Customer 53;Veneto;VE;GD;3
42744;Tamponi;Blue Box;Product 7;Customer 53;Veneto;VI;GD;3
42744;Tamponi;Blue Box;Product 7;Customer 67;Lombardia;MI;GD;67,99983
42744;Tamponi;Blue Box;Product 7;Customer 87;Veneto;VE;DO;20
42744;Tamponi;Compak;Product 8;Customer 157;Lazio;RM;DISCOUNT;19,2
42744;Tamponi;Compak;Product 9;Customer 30;Piemonte;NO;GD;18,0072
42744;Tamponi;Compak;Product 9;Customer 30;Piemonte;TO;GD;18,0072
42744;Tamponi;Compak;Product 9;Customer 53;Emilia Romagna;BO;GD;7,20288
42744;Tamponi;Compak;Product 9;Customer 53;Emilia Romagna;FE;GD;4,80192
42744;Tamponi;Compak;Product 9;Customer 53;Emilia Romagna;MO;GD;7,20288
42744;Tamponi;Compak;Product 9;Customer 53;Emilia Romagna;PC;GD;2,40096
42744;Tamponi;Compak;Product 9;Customer 53;Emilia Romagna;RA;GD;2,40096
42744;Tamponi;Compak;Product 9;Customer 53;Emilia Romagna;RE;GD;4,80192
42744;Tamponi;Compak;Product 9;Customer 53;Friuli Venezia Giulia;TS;GD;2,40096
42744;Tamponi;Compak;Product 9;Customer 53;Lombardia;MN;GD;2,40096
42744;Tamponi;Compak;Product 9;Customer 53;Marche;PU;GD;1,20048
42744;Tamponi;Compak;Product 9;Customer 53;Puglia;BR;GD;2,40096
42744;Tamponi;Compak;Product 9;Customer 53;Sicilia;PA;GD;2,40096
42744;Tamponi;Compak;Product 9;Customer 53;Veneto;PD;GD;2,40096
42744;Tamponi;Compak;Product 9;Customer 53;Veneto;VE;GD;2,40096
42744;Tamponi;Compak;Product 9;Customer 53;Veneto;VI;GD;2,40096
42744;Tamponi;Compak;Product 9;Customer 54;Piemonte;VC;GD;252,1008
42744;Tamponi;Compak;Product 10;Customer 113;Basilicata;PZ;GD;15,2
42744;Tamponi;Compak;Product 10;Customer 113;Sardegna;CA;GD;6,4
42744;Tamponi;Compak;Product 10;Customer 134;Emilia Romagna;PR;GD;30,4
42744;Tamponi;Compak;Product 10;Customer 157;Lazio;RM;DISCOUNT;19,2
42744;Tamponi;Compak;Product 11;Customer 30;Lazio;RM;GD;14,40576
42744;Tamponi;Compak;Product 11;Customer 30;Piemonte;NO;GD;14,40576
42744;Tamponi;Compak;Product 11;Customer 36;Valle d'Aosta;AO;DO;3,60144
42744;Tamponi;Compak;Product 11;Customer 53;Emilia Romagna;BO;GD;7,20288
42744;Tamponi;Compak;Product 11;Customer 53;Emilia Romagna;FE;GD;4,80192
42744;Tamponi;Compak;Product 11;Customer 53;Emilia Romagna;MO;GD;7,20288
42744;Tamponi;Compak;Product 11;Customer 53;Emilia Romagna;PC;GD;2,40096
42744;Tamponi;Compak;Product 11;Customer 53;Emilia Romagna;RA;GD;2,40096
42744;Tamponi;Compak;Product 11;Customer 53;Emilia Romagna;RE;GD;4,80192
42744;Tamponi;Compak;Product 11;Customer 53;Friuli Venezia Giulia;TS;GD;2,40096
42744;Tamponi;Compak;Product 11;Customer 53;Lombardia;MN;GD;2,40096
42744;Tamponi;Compak;Product 11;Customer 53;Marche;PU;GD;2,40096
42744;Tamponi;Compak;Product 11;Customer 53;Puglia;BR;GD;2,40096
42744;Tamponi;Compak;Product 11;Customer 53;Sicilia;PA;GD;2,40096
42744;Tamponi;Compak;Product 11;Customer 53;Veneto;PD;GD;2,40096
42744;Tamponi;Compak;Product 11;Customer 53;Veneto;VE;GD;2,40096
42744;Tamponi;Compak;Product 11;Customer 53;Veneto;VI;GD;2,40096
42744;Tamponi;Compak;Product 11;Customer 54;Piemonte;VC;GD;172,86912
42744;Tamponi;Compak;Product 11;Customer 87;Veneto;VE;DO;28,81152
42744;Tamponi;Digital;Product 13;Customer 53;Emilia Romagna;BO;GD;9,5949
42744;Tamponi;Digital;Product 13;Customer 53;Emilia Romagna;FE;GD;3,1983
42744;Tamponi;Digital;Product 13;Customer 53;Emilia Romagna;MO;GD;9,5949
42744;Tamponi;Digital;Product 13;Customer 53;Emilia Romagna;RA;GD;3,1983
42744;Tamponi;Digital;Product 13;Customer 53;Marche;PU;GD;1,0661
42744;Tamponi;Digital;Product 13;Customer 53;Veneto;PD;GD;3,1983
42744;Tamponi;Digital;Product 13;Customer 53;Veneto;VE;GD;6,3966
42744;Tamponi;Digital;Product 13;Customer 53;Veneto;VI;GD;1,0661
42744;Tamponi;Digital;Product 15;Customer 53;Emilia Romagna;BO;GD;9,5949
42744;Tamponi;Digital;Product 15;Customer 53;Emilia Romagna;FE;GD;3,1983
42744;Tamponi;Digital;Product 15;Customer 53;Emilia Romagna;MO;GD;9,5949
42744;Tamponi;Digital;Product 15;Customer 53;Emilia Romagna;RA;GD;3,1983
42744;Tamponi;Digital;Product 15;Customer 53;Marche;PU;GD;1,0661
42744;Tamponi;Digital;Product 15;Customer 53;Veneto;PD;GD;3,1983
42744;Tamponi;Digital;Product 15;Customer 53;Veneto;VE;GD;6,3966
42744;Tamponi;Digital;Product 15;Customer 53;Veneto;VI;GD;2,1322
42744;Tamponi;Digital;Product 15;Customer 58;Veneto;VR;DO;31,983
42745;Tamponi;Blue Box;Product 1;Customer 45;Lazio;RM;DO;17
42745;Tamponi;Blue Box;Product 2;Customer 53;Campania;AV;GD;2
42745;Tamponi;Blue Box;Product 2;Customer 53;Friuli Venezia Giulia;PN;GD;2
42745;Tamponi;Blue Box;Product 2;Customer 53;Puglia;FG;GD;1
42745;Tamponi;Blue Box;Product 2;Customer 53;Puglia;LE;GD;1
42745;Tamponi;Blue Box;Product 2;Customer 53;Sicilia;ME;GD;1
42745;Tamponi;Blue Box;Product 3;Customer 45;Lazio;RM;DO;42
42745;Tamponi;Blue Box;Product 3;Customer 46;Lazio;RM;DO;28
42745;Tamponi;Blue Box;Product 3;Customer 64;Piemonte;NO;GD;1
42745;Tamponi;Blue Box;Product 4;Customer 53;Abruzzo;CH;GD;3
42745;Tamponi;Blue Box;Product 4;Customer 53;Emilia Romagna;BO;GD;3
42745;Tamponi;Blue Box;Product 4;Customer 53;Emilia Romagna;FE;GD;3
42745;Tamponi;Blue Box;Product 4;Customer 53;Friuli Venezia Giulia;PN;GD;2
42745;Tamponi;Blue Box;Product 4;Customer 53;Lombardia;MN;GD;3
42745;Tamponi;Blue Box;Product 4;Customer 53;Puglia;LE;GD;3
42745;Tamponi;Blue Box;Product 4;Customer 53;Sicilia;CT;GD;9
42745;Tamponi;Blue Box;Product 4;Customer 53;Sicilia;ME;GD;2
42745;Tamponi;Blue Box;Product 4;Customer 67;Piemonte;NO;GD;101,33308
42745;Tamponi;Blue Box;Product 5;Customer 45;Lazio;RM;DO;72
42745;Tamponi;Blue Box;Product 5;Customer 46;Lazio;RM;DO;12
42745;Tamponi;Blue Box;Product 5;Customer 52;Sardegna;SU;GD;72
42745;Tamponi;Blue Box;Product 5;Customer 85;Piemonte;BI;GD;2
42745;Tamponi;Blue Box;Product 5;Customer 147;Marche;AN;GD;12
42745;Tamponi;Blue Box;Product 5;Customer 148;Lombardia;MI;GD;72
42745;Tamponi;Blue Box;Product 7;Customer 53;Abruzzo;CH;GD;3
42745;Tamponi;Blue Box;Product 7;Customer 53;Emilia Romagna;BO;GD;3
42745;Tamponi;Blue Box;Product 7;Customer 53;Emilia Romagna;FE;GD;3
42745;Tamponi;Blue Box;Product 7;Customer 53;Friuli Venezia Giulia;PN;GD;2
42745;Tamponi;Blue Box;Product 7;Customer 53;Lombardia;MN;GD;3
42745;Tamponi;Blue Box;Product 7;Customer 53;Puglia;LE;GD;3
42745;Tamponi;Blue Box;Product 7;Customer 53;Sicilia;CT;GD;9
42745;Tamponi;Blue Box;Product 7;Customer 53;Sicilia;ME;GD;2
42745;Tamponi;Blue Box;Product 7;Customer 67;Piemonte;NO;GD;203,99949
42745;Tamponi;Blue Box;Product 7;Customer 87;Veneto;VE;DO;20
42745;Tamponi;Blue Box;Product 7;Customer 144;Lombardia;PV;GD;20
42745;Tamponi;Compak;Product 8;Customer 45;Lazio;RM;DO;32
42745;Tamponi;Compak;Product 8;Customer 85;Piemonte;BI;GD;1,6
42745;Tamponi;Compak;Product 8;Customer 147;Marche;AN;GD;16
42745;Tamponi;Compak;Product 8;Customer 148;Lombardia;MI;GD;48
42745;Tamponi;Compak;Product 9;Customer 53;Abruzzo;CH;GD;2,40096
42745;Tamponi;Compak;Product 9;Customer 53;Emilia Romagna;BO;GD;2,40096
42745;Tamponi;Compak;Product 9;Customer 53;Emilia Romagna;FE;GD;2,40096
42745;Tamponi;Compak;Product 9;Customer 53;Friuli Venezia Giulia;PN;GD;3,60144
42745;Tamponi;Compak;Product 9;Customer 53;Lombardia;MN;GD;2,40096
42745;Tamponi;Compak;Product 9;Customer 53;Puglia;FG;GD;1,20048
42745;Tamponi;Compak;Product 9;Customer 53;Puglia;LE;GD;2,40096
42745;Tamponi;Compak;Product 9;Customer 53;Sicilia;CT;GD;4,80192
42745;Tamponi;Compak;Product 9;Customer 53;Sicilia;ME;GD;1,20048
42745;Tamponi;Compak;Product 9;Customer 67;Lombardia;MI;GD;89,6
42745;Tamponi;Compak;Product 9;Customer 87;Veneto;VE;DO;18,0072
42745;Tamponi;Compak;Product 9;Customer 160;Toscana;LI;GD;18,0072
42745;Tamponi;Compak;Product 10;Customer 45;Lazio;RM;DO;45,6
42745;Tamponi;Compak;Product 10;Customer 85;Piemonte;BI;GD;1,6
42745;Tamponi;Compak;Product 10;Customer 147;Marche;AN;GD;15,2
42745;Tamponi;Compak;Product 10;Customer 148;Lombardia;MI;GD;45,6
42745;Tamponi;Compak;Product 11;Customer 53;Abruzzo;CH;GD;2,40096
42745;Tamponi;Compak;Product 11;Customer 53;Emilia Romagna;BO;GD;2,40096
42745;Tamponi;Compak;Product 11;Customer 53;Emilia Romagna;FE;GD;2,40096
42745;Tamponi;Compak;Product 11;Customer 53;Friuli Venezia Giulia;PN;GD;2,40096
42745;Tamponi;Compak;Product 11;Customer 53;Lombardia;MN;GD;2,40096
42745;Tamponi;Compak;Product 11;Customer 53;Puglia;FG;GD;1,20048
42745;Tamponi;Compak;Product 11;Customer 53;Puglia;LE;GD;2,40096
42745;Tamponi;Compak;Product 11;Customer 53;Sicilia;CT;GD;7,20288
42745;Tamponi;Compak;Product 11;Customer 53;Sicilia;ME;GD;1,20048
42745;Tamponi;Compak;Product 11;Customer 67;Lombardia;MI;GD;72
42745;Tamponi;Digital;Product 13;Customer 53;Emilia Romagna;BO;GD;3,1983
42745;Tamponi;Digital;Product 13;Customer 53;Emilia Romagna;FE;GD;6,3966
42745;Tamponi;Digital;Product 13;Customer 53;Emilia Romagna;RA;GD;3,1983
42745;Tamponi;Digital;Product 13;Customer 53;Sicilia;ME;GD;2,1322
42745;Tamponi;Digital;Product 15;Customer 53;Emilia Romagna;BO;GD;3,1983
42745;Tamponi;Digital;Product 15;Customer 53;Emilia Romagna;FE;GD;6,3966
42745;Tamponi;Digital;Product 15;Customer 53;Emilia Romagna;RA;GD;3,1983
42745;Tamponi;Digital;Product 15;Customer 53;Sicilia;ME;GD;1,0661
42746;Tamponi;Blue Box;Product 1;Customer 30;Piemonte;NO;GD;17
42746;Tamponi;Blue Box;Product 2;Customer 53;Lazio;RM;GD;2
42746;Tamponi;Blue Box;Product 3;Customer 147;Lombardia;BS;GD;14
42746;Tamponi;Blue Box;Product 3;Customer 147;Veneto;PD;GD;14
42746;Tamponi;Blue Box;Product 4;Customer 53;Lazio;RM;GD;3
42746;Tamponi;Blue Box;Product 4;Customer 91;Veneto;VI;DO;96
42746;Tamponi;Blue Box;Product 5;Customer 49;Sardegna;OR;GD;12
42746;Tamponi;Blue Box;Product 5;Customer 82;Veneto;PD;DRUGSTORE;72
42746;Tamponi;Blue Box;Product 5;Customer 88;Puglia;BT;DO;24
42746;Tamponi;Blue Box;Product 5;Customer 143;Campania;CE;GD;12
42746;Tamponi;Blue Box;Product 5;Customer 147;Lombardia;BS;GD;24
42746;Tamponi;Blue Box;Product 5;Customer 147;Veneto;PD;GD;12
42746;Tamponi;Blue Box;Product 6;Customer 82;Veneto;PD;DRUGSTORE;216
42746;Tamponi;Blue Box;Product 7;Customer 30;Piemonte;NO;GD;60
42746;Tamponi;Blue Box;Product 7;Customer 53;Lazio;RM;GD;3
42746;Tamponi;Blue Box;Product 7;Customer 73;Lombardia;CR;DO;60
42746;Tamponi;Blue Box;Product 7;Customer 91;Veneto;VI;DO;180
42746;Tamponi;Blue Box;Product 7;Customer 159;Toscana;FI;GD;60
42746;Tamponi;Compak;Product 8;Customer 82;Veneto;PD;DRUGSTORE;224
42746;Tamponi;Compak;Product 8;Customer 147;Sicilia;CT;GD;8
42746;Tamponi;Compak;Product 9;Customer 53;Lazio;RM;GD;2,40096
42746;Tamponi;Compak;Product 9;Customer 91;Veneto;VI;DO;72,0288
42746;Tamponi;Compak;Product 10;Customer 82;Veneto;PD;DRUGSTORE;91,2
42746;Tamponi;Compak;Product 10;Customer 147;Lombardia;BS;GD;15,2
42746;Tamponi;Compak;Product 10;Customer 147;Veneto;PD;GD;15,2
42746;Tamponi;Compak;Product 11;Customer 30;Piemonte;NO;GD;28,81152
42746;Tamponi;Compak;Product 11;Customer 53;Lazio;RM;GD;2,40096
42746;Tamponi;Compak;Product 11;Customer 91;Veneto;VI;DO;86,43456
42746;Tamponi;Compak;Product 11;Customer 159;Toscana;FI;GD;86,43456
42746;Tamponi;Digital;Product 13;Customer 53;Lazio;RM;GD;3,1983
42746;Tamponi;Digital;Product 15;Customer 53;Lazio;RM;GD;3,1983
42746;Tamponi;Digital;Product 15;Customer 91;Veneto;VI;DO;31,983
42747;Tamponi;Blue Box;Product 1;Customer 45;Sardegna;SU;DO;17
42747;Tamponi;Blue Box;Product 3;Customer 45;Sardegna;SU;DO;14
42747;Tamponi;Blue Box;Product 3;Customer 45;Toscana;LU;DO;28
42747;Tamponi;Blue Box;Product 3;Customer 113;Basilicata;PZ;GD;14
42747;Tamponi;Blue Box;Product 4;Customer 30;Lombardia;MI;GD;36
42747;Tamponi;Blue Box;Product 5;Customer 46;Calabria;CS;DO;24
42747;Tamponi;Blue Box;Product 5;Customer 90;Lazio;RM;DRUGSTORE;72
42747;Tamponi;Blue Box;Product 7;Customer 30;Lombardia;MI;GD;20
42747;Tamponi;Blue Box;Product 7;Customer 67;Lombardia;MI;GD;203,99949
42747;Tamponi;Compak;Product 8;Customer 144;Lombardia;PV;GD;16
42747;Tamponi;Compak;Product 9;Customer 67;Toscana;FI;GD;89,6
42747;Tamponi;Compak;Product 10;Customer 113;Lombardia;BG;GD;15,2
42747;Tamponi;Compak;Product 11;Customer 30;Lazio;RM;GD;28,81152
42747;Tamponi;Compak;Product 11;Customer 67;Toscana;FI;GD;100,8
42747;Tamponi;Digital;Product 15;Customer 113;Lombardia;BG;GD;10,661
42748;Tamponi;Blue Box;Product 1;Customer 96;Sardegna;OR;GD;12
42748;Tamponi;Blue Box;Product 3;Customer 96;Sardegna;OR;GD;12
42748;Tamponi;Blue Box;Product 3;Customer 147;Sicilia;CT;GD;14
42748;Tamponi;Blue Box;Product 5;Customer 96;Sardegna;OR;GD;12
42748;Tamponi;Blue Box;Product 5;Customer 117;Piemonte;CN;DO;12
42748;Tamponi;Blue Box;Product 5;Customer 147;Sicilia;CT;GD;24
42748;Tamponi;Blue Box;Product 7;Customer 24;Lombardia;VA;DO;120
42748;Tamponi;Blue Box;Product 7;Customer 53;Emilia Romagna;MO;GD;60
42748;Tamponi;Blue Box;Product 7;Customer 87;Veneto;VE;DO;20
42748;Tamponi;Blue Box;Product 7;Customer 116;Veneto;VR;DO;60
42748;Tamponi;Blue Box;Product 7;Customer 117;Piemonte;CN;DO;10
42748;Tamponi;Blue Box;Product 7;Customer 148;Sicilia;ME;GD;10
42748;Tamponi;Blue Box;Product 7;Customer 153;Sardegna;CA;DO;40
42748;Tamponi;Compak;Product 8;Customer 32;Toscana;PI;GD;16
42748;Tamponi;Compak;Product 8;Customer 147;Sicilia;CT;GD;16
42748;Tamponi;Compak;Product 9;Customer 24;Lombardia;VA;DO;126,0504
42748;Tamponi;Compak;Product 10;Customer 42;Abruzzo;CH;DO;30,4
42748;Tamponi;Compak;Product 10;Customer 147;Sicilia;CT;GD;15,2
42748;Tamponi;Pearl;Product 19;Customer 30;Piemonte;NO;GD;0,90009
42751;Tamponi;Blue Box;Product 1;Customer 125;Campania;NA;INGROSSO;17
42751;Tamponi;Blue Box;Product 2;Customer 53;Sicilia;CT;GD;1
42751;Tamponi;Blue Box;Product 3;Customer 7;Veneto;PD;DO;98
42751;Tamponi;Blue Box;Product 3;Customer 125;Campania;NA;INGROSSO;14
42751;Tamponi;Blue Box;Product 4;Customer 53;Sicilia;CT;GD;1
